info	GenerationTime	ExecutionTime	PlanTime	NumRoles(Before)	NumRoles(After)	NumAss(Before)	NumAss(After)	numUsers	NumPermessi	numAssUPA	numAssUA	numAssPA	opt	sim	ResultCompliance
exc_11_beta_0.25	0.0600000000559	920.63	0	13	8	65	43	11	11	26	24	19	0.322784810127	0.916666666667	True
exc_0_beta_0.2	1.30999999982	922.46	0	13	10	65	54	11	11	26	30	24	0.0253164556962	0.926602564103	True
exc_1_beta_0.2	0.0600000000559	920.95	0	13	10	65	54	11	11	26	32	22	0.0253164556962	0.955128205128	True
exc_2_beta_0.2	0.059999999823	920.82	0	13	10	65	54	11	11	26	32	22	0.0253164556962	0.955128205128	True
exc_3_beta_0.2	0.0399999998044	920.79	0	13	10	65	54	11	11	26	32	22	0.0253164556962	0.955128205128	True
exc_4_beta_0.2	0.0600000000559	920.67	0	13	10	65	54	11	11	26	32	22	0.0253164556962	0.955128205128	True
exc_5_beta_0.2	0.0600000000559	921.79	0	13	10	65	54	11	11	26	32	22	0.0253164556962	0.955128205128	True
exc_6_beta_0.2	0.0600000000559	920.98	0	13	10	65	54	11	11	26	32	22	0.0253164556962	0.955128205128	True
exc_7_beta_0.2	0.0600000000559	920.6	0	13	10	65	52	11	11	26	32	20	0.0379746835443	0.910897435897	True
exc_8_beta_0.2	0.059999999823	920.6	0	13	10	65	54	11	11	26	32	22	0.0253164556962	0.955128205128	True
exc_9_beta_0.2	0.0600000000559	921.08	0	13	10	65	54	11	11	26	31	23	0.0253164556962	0.932051282051	True
exc_10_beta_0.2	0.0399999998044	921.24	0	13	10	65	53	11	11	26	32	21	0.0316455696203	0.910897435897	True
exc_11_beta_0.2	0.0400000000373	920.67	0	13	10	65	54	11	11	26	32	22	0.0253164556962	0.955128205128	True
exc_0_beta_0.15	0.059999999823	920.77	0	13	12	65	62	11	11	26	34	28	-0.303797468354	0.967147435897	True
exc_1_beta_0.15	0.0600000000559	920.44	0	13	11	65	58	11	11	26	34	24	-0.132911392405	0.974358974359	True
exc_2_beta_0.15	0.0600000000559	920.4	0	13	11	65	58	11	11	26	34	24	-0.132911392405	0.974358974359	True
exc_3_beta_0.15	0.0600000000559	920.42	0	13	11	65	58	11	11	26	34	24	-0.132911392405	0.974358974359	True
exc_4_beta_0.15	0.0500000000466	921.61	0	13	11	65	58	11	11	26	34	24	-0.132911392405	0.974358974359	True
exc_5_beta_0.15	0.0399999998044	920.93	0	13	11	65	58	11	11	26	34	24	-0.132911392405	0.974358974359	True
exc_6_beta_0.15	0.0399999998044	920.62	0	13	11	65	58	11	11	26	34	24	-0.132911392405	0.974358974359	True
exc_7_beta_0.15	0.0600000000559	920.9	0	13	12	65	61	11	11	26	33	28	-0.29746835443	0.96047008547	True
exc_8_beta_0.15	0.0600000000559	920.72	0	13	11	65	58	11	11	26	34	24	-0.132911392405	0.974358974359	True
exc_9_beta_0.15	0.0400000000373	920.6	0	13	11	65	58	11	11	26	34	24	-0.132911392405	0.974358974359	True
exc_10_beta_0.15	0.0600000000559	920.82	0	13	11	65	57	11	11	26	34	23	-0.126582278481	0.932400932401	True
exc_11_beta_0.15	0.0499999998137	920.74	0	13	11	65	58	11	11	26	33	25	-0.132911392405	0.960372960373	True
exc_0_beta_0.1	0.0600000000559	920.55	0	13	13	65	66	11	11	26	35	31	-0.487341772152	0.980769230769	True
exc_1_beta_0.1	0.0600000000559	920.19	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_2_beta_0.1	0.0700000000652	920.62	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_3_beta_0.1	0.0600000000559	920.24	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_4_beta_0.1	0.059999999823	920.52	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_5_beta_0.1	0.0400000000373	926.23	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_6_beta_0.1	0.0400000000373	920.71	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_7_beta_0.1	0.0600000000559	921.16	0	13	13	65	65	11	11	26	34	31	-0.481012658228	0.974358974359	True
exc_8_beta_0.1	0.0600000000559	920.07	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_9_beta_0.1	0.0600000000559	920.65	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_10_beta_0.1	0.0600000000559	920.22	0	13	13	65	65	11	11	26	36	29	-0.481012658228	0.967948717949	True
exc_11_beta_0.1	0.0400000000373	920.07	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_0_beta_0.05	0.059999999823	919.32	0	13	13	65	66	11	11	26	35	31	-0.487341772152	0.980769230769	True
exc_1_beta_0.05	0.0600000000559	916.24	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_2_beta_0.05	0.0399999998044	919.74	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_3_beta_0.05	0.0400000000373	917.53	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_4_beta_0.05	0.0400000000373	920.88	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_5_beta_0.05	0.0600000000559	920.16	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_6_beta_0.05	0.059999999823	921.06	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_7_beta_0.05	0.0400000000373	920.52	0	13	13	65	65	11	11	26	34	31	-0.481012658228	0.974358974359	True
exc_8_beta_0.05	0.0400000000373	921.12	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_9_beta_0.05	0.0500000000466	919.99	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_10_beta_0.05	0.0600000000559	920.77	0	13	13	65	65	11	11	26	36	29	-0.481012658228	0.967948717949	True
exc_11_beta_0.05	0.059999999823	920.16	0	13	13	65	66	11	11	26	36	30	-0.487341772152	1.0	True
exc_0_beta_0.0	0.0600000000559	1.84000000008	0	13	14	65	67	11	11	26	36	31	-0.664556962025	0.973214285714	True
exc_1_beta_0.0	0.0500000000466	1.35999999987	0	13	14	65	67	11	11	26	36	31	-0.664556962025	1.0	True
exc_2_beta_0.0	0.0500000000466	0.620000000112	0	13	14	65	68	11	11	26	37	31	-0.670886075949	1.0	True
exc_3_beta_0.0	0.0500000000466	0.450000000186	0	13	14	65	69	11	11	26	37	32	-0.677215189873	0.988095238095	True
exc_4_beta_0.0	0.0400000000373	3.75000000023	0	13	14	65	67	11	11	26	36	31	-0.664556962025	1.0	True
exc_5_beta_0.0	0.0600000000559	2.0	0	13	14	65	67	11	11	26	36	31	-0.664556962025	1.0	True
exc_6_beta_0.0	0.0600000000559	7.04000000004	0	13	14	65	68	11	11	26	36	32	-0.670886075949	0.982142857143	True
exc_7_beta_0.0	0.059999999823	0.540000000037	0	13	14	65	68	11	11	26	36	32	-0.670886075949	0.97619047619	True
exc_8_beta_0.0	0.0400000000373	7.64999999991	0	13	14	65	67	11	11	26	36	31	-0.664556962025	0.982142857143	True
exc_9_beta_0.0	0.059999999823	4.37999999989	0	13	14	65	68	11	11	26	37	31	-0.670886075949	1.0	True
exc_10_beta_0.0	0.0600000000559	2.37999999989	0	13	14	65	67	11	11	26	36	31	-0.664556962025	0.982142857143	True
exc_11_beta_0.0	0.0600000000559	0.790000000037	0	13	14	65	68	11	11	26	37	31	-0.670886075949	1.0	True
