info	GenerationTime	ExecutionTime	NumVariables	NumClauses	DimensionFormula	NumRoles(Before)	NumRoles(After)	NumZeros(Before)	NumZeros(After)	ResultCompliance
exc_2_w_0.25	0.0181479454041	2.02899193764	686	3388	55771	13	8	65	51	0.86233974359	True
exc_3_w_0.25	0.021791934967	2.09092593193	686	3388	55771	13	8	65	52	0.923076923077	True
exc_4_w_0.25	0.0165657997131	2.02362680435	686	3388	55785	13	8	65	50	0.916666666667	True
exc_5_w_0.25	0.0163609981537	2.02736091614	686	3388	55771	13	8	65	51	0.916666666667	True
exc_6_w_0.25	0.0169379711151	2.08528995514	686	3388	55785	13	8	65	50	0.923076923077	True
exc_7_w_0.25	0.0162389278412	2.02719187737	686	3388	55762	13	8	65	51	0.872596153846	True
exc_8_w_0.25	0.0184988975525	2.09145689011	686	3388	55771	13	8	65	53	0.916666666667	True
exc_9_w_0.25	0.0236110687256	2.02645087242	686	3388	55785	13	8	65	53	0.870592948718	True
exc_10_w_0.25	0.0165929794312	2.02734088898	686	3388	55771	13	8	65	51	0.866185897436	True
exc_11_w_0.25	0.017275094986	2.08983898163	686	3388	55784	13	8	65	53	0.916666666667	True
exc_0_w_0.3	0.0164740085602	2.01917791367	686	3388	55771	13	7	65	41	0.842490842491	True
exc_1_w_0.3	0.0170810222626	2.0822520256	686	3388	55771	13	8	65	52	0.916666666667	True
exc_2_w_0.3	0.0164260864258	2.0235080719	686	3388	55771	13	8	65	51	0.86233974359	True
exc_3_w_0.3	0.0171618461609	2.08980679512	686	3388	55771	13	7	65	48	0.876373626374	True
exc_4_w_0.3	0.0168340206146	2.02354502678	686	3388	55785	13	8	65	50	0.916666666667	True
exc_5_w_0.3	0.0188639163971	2.02930092812	686	3388	55771	13	8	65	51	0.916666666667	True
exc_6_w_0.3	0.0195751190186	2.09212803841	686	3388	55785	13	8	65	50	0.923076923077	True
exc_7_w_0.3	0.0177929401398	2.02992391586	686	3388	55762	13	8	65	51	0.872596153846	True
