info	GenerationTime	ExecutionTime	NumRoles(Before)	NumRoles(After)	NumAss(Before)	NumAss(After)	numUsers	NumPermessi	numAssUPA	numAssUA	numAssPA	opt	sim	ResultCompliance
exc_path_16_exc_0_timeOut_10_w_0.4	95.29	210.26	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_10_exc_0_timeOut_10_w_0.4	95.2300000004	210.330000001	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_14_exc_0_timeOut_10_w_0.4	98.8800000008	214.220000001	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_12_exc_0_timeOut_10_w_0.4	112.45	281.830000001	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_5_exc_0_timeOut_10_w_0.4	114.58	281.960000001	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_8_exc_0_timeOut_10_w_0.4	114.58	282.02	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_2_exc_0_timeOut_10_w_0.4	116.310000001	285.0	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_13_exc_0_timeOut_10_w_0.4	115.52	284.73	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_1_exc_0_timeOut_10_w_0.4	115.58	284.73	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_11_exc_0_timeOut_10_w_0.4	115.52	284.590000001	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_0_exc_0_timeOut_10_w_0.4	116.310000001	286.01	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_4_exc_0_timeOut_10_w_0.4	118.500000001	289.430000001	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_6_exc_0_timeOut_10_w_0.4	119.700000001	291.120000001	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_9_exc_0_timeOut_10_w_0.4	120.390000001	291.800000001	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_15_exc_0_timeOut_10_w_0.4	121.78	293.98	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_3_exc_0_timeOut_10_w_0.4	123.27	295.380000001	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_7_exc_0_timeOut_10_w_0.4	124.810000001	297.090000001	73	63	1848	1159	79	231	725	219	940	0.272107877928	0.683924702659	True
exc_path_16_exc_1_timeOut_10_w_0.4	74.5599999996	234.66	58	33	1111	537	79	231	726	147	390	0.769230769231	0.576682918471	True
exc_path_10_exc_1_timeOut_10_w_0.4	75.2299999995	235.33	58	33	1111	537	79	231	726	147	390	0.769230769231	0.576682918471	True
exc_path_14_exc_1_timeOut_10_w_0.4	77.459999999	237.55	58	33	1111	537	79	231	726	147	390	0.769230769231	0.576682918471	True
exc_path_12_exc_1_timeOut_10_w_0.4	78.4199999999	238.58	58	33	1111	537	79	231	726	147	390	0.769230769231	0.576682918471	True
exc_path_5_exc_1_timeOut_10_w_0.4	77.1999999993	237.56	58	33	1111	537	79	231	726	147	390	0.769230769231	0.576682918471	True
exc_path_8_exc_1_timeOut_10_w_0.4	78.3700000001	238.6	58	33	1111	537	79	231	726	147	390	0.769230769231	0.576682918471	True
exc_path_11_exc_1_timeOut_10_w_0.4	78.5700000003	238.800000001	58	33	1111	537	79	231	726	147	390	0.769230769231	0.576682918471	True
exc_path_13_exc_1_timeOut_10_w_0.4	83.0	243.48	58	33	1111	537	79	231	726	147	390	0.769230769231	0.576682918471	True
exc_path_1_exc_1_timeOut_10_w_0.4	90.0199999996	253.649999999	58	33	1111	537	79	231	726	147	390	0.769230769231	0.576682918471	True
exc_path_0_exc_1_timeOut_10_w_0.4	91.9099999992	257.199999999	58	33	1111	537	79	231	726	147	390	0.769230769231	0.576682918471	True
exc_path_2_exc_1_timeOut_10_w_0.4	97.5199999996	265.26	58	33	1111	537	79	231	726	147	390	0.769230769231	0.576682918471	True
exc_path_4_exc_1_timeOut_10_w_0.4	98.3699999992	268.53	58	33	1111	537	79	231	726	147	390	0.769230769231	0.576682918471	True
exc_path_6_exc_1_timeOut_10_w_0.4	97.6500000004	268.37	58	33	1111	537	79	231	726	147	390	0.769230769231	0.576682918471	True
exc_path_9_exc_1_timeOut_10_w_0.4	98.0800000001	269.33	58	33	1111	537	79	231	726	147	390	0.769230769231	0.576682918471	True
exc_path_15_exc_1_timeOut_10_w_0.4	95.9899999993	267.31	58	33	1111	537	79	231	726	147	390	0.769230769231	0.576682918471	True
exc_path_3_exc_1_timeOut_10_w_0.4	98.5599999996	270.359999999	58	33	1111	537	79	231	726	147	390	0.769230769231	0.576682918471	True
exc_path_7_exc_1_timeOut_10_w_0.4	96.0499999998	268.07	63	37	1159	541	79	231	726	147	394	0.728924212319	0.569285487421	True
exc_path_16_exc_2_timeOut_10_w_0.4	43.2100000009	214.33	33	24	537	499	79	231	727	128	371	0.847452816801	0.680306336822	True
exc_path_10_exc_2_timeOut_10_w_0.4	43.2000000011	214.250000001	33	24	537	499	79	231	727	141	358	0.847452816801	0.739863178138	True
exc_path_14_exc_2_timeOut_10_w_0.4	44.54	215.73	33	24	537	499	79	231	727	128	371	0.847452816801	0.680306336822	True
exc_path_12_exc_2_timeOut_10_w_0.4	45.6899999995	216.91	33	24	537	499	79	231	727	128	371	0.847452816801	0.680306336822	True
exc_path_5_exc_2_timeOut_10_w_0.4	45.7500000009	216.630000001	33	24	537	479	79	231	727	146	333	0.850290903931	0.681808070088	True
exc_path_8_exc_2_timeOut_10_w_0.4	45.2700000014	216.340000001	33	24	537	499	79	231	727	141	358	0.847452816801	0.739863178138	True
exc_path_11_exc_2_timeOut_10_w_0.4	45.5199999996	216.8	33	24	537	499	79	231	727	141	358	0.847452816801	0.739863178138	True
exc_path_13_exc_2_timeOut_10_w_0.4	46.0600000005	216.66	33	24	537	499	79	231	727	128	371	0.847452816801	0.680306336822	True
exc_path_1_exc_2_timeOut_10_w_0.4	46.6100000013	217.91	33	24	537	479	79	231	727	146	333	0.850290903931	0.681808070088	True
exc_path_0_exc_2_timeOut_10_w_0.4	47.0899999999	218.57	33	24	537	479	79	231	727	146	333	0.850290903931	0.681808070088	True
exc_path_2_exc_2_timeOut_10_w_0.4	47.8899999997	219.109999999	33	24	537	479	79	231	727	146	333	0.850290903931	0.681808070088	True
exc_path_4_exc_2_timeOut_10_w_0.4	47.9299999997	219.05	33	24	537	479	79	231	727	146	333	0.850290903931	0.681808070088	True
exc_path_6_exc_2_timeOut_10_w_0.4	48.4199999999	219.319999999	33	24	537	499	79	231	727	141	358	0.847452816801	0.739863178138	True
exc_path_9_exc_2_timeOut_10_w_0.4	47.1900000004	218.38	33	24	537	499	79	231	727	141	358	0.847452816801	0.739863178138	True
exc_path_15_exc_2_timeOut_10_w_0.4	46.8200000003	217.47	33	24	537	499	79	231	727	128	371	0.847452816801	0.680306336822	True
exc_path_3_exc_2_timeOut_10_w_0.4	49.0800000001	220.47	33	24	537	479	79	231	727	146	333	0.850290903931	0.681808070088	True
exc_path_7_exc_2_timeOut_10_w_0.4	55.129999999	227.19	37	27	541	628	79	231	727	151	477	0.807435788279	0.667692686705	True
exc_path_16_exc_3_timeOut_10_w_0.4	31.9199999999	202.74	24	25	499	616	79	231	728	132	484	0.823921679909	0.878035105281	True
exc_path_10_exc_3_timeOut_10_w_0.4	31.9899999993	202.94	24	25	499	613	79	231	728	148	465	0.824347332577	0.951340304418	True
exc_path_14_exc_3_timeOut_10_w_0.4	32.75	203.46	24	23	499	505	79	231	728	129	376	0.853291713961	0.985032667844	True
exc_path_12_exc_3_timeOut_10_w_0.4	33.1600000001	203.87	24	25	499	586	79	231	728	130	456	0.828178206583	0.963925785024	True
