beta	RateSoftSAT
0.0	0.974342594730496
0.05	0.9249560280934995
0.1	0.8863429023844258
0.15	0.8418886529351491
0.2	0.8045249082529533
0.25	0.755362664239059
0.3	0.7191736635312297
0.35	0.6785899638604184
0.4	0.6261871379813344
0.45	0.5906579473907526
0.5	0.5517774931120469
0.55	0.5174205112296201
0.6	0.46130357225734453
0.65	0.4268678509610274
0.7	0.38315310463409935
0.75	0.4246774296419507
0.8	0.40178226250335836
0.85	0.4120100814407497
0.9	0.3917941869289677
0.95	0.36246789253895306
1.0	0.3636698553261184
