beta	AvgRoleNumber	AvgAssignments	avgOpt	Similarity
0.0	14.0	67.5833333333	-0.668248945148	0.990327380952
0.05	13.0	65.8333333333	-0.486286919831	0.99358974359
0.1	11.1666666667	58.5	-0.160337552743	0.967938600751
0.15	9.91666666667	53.1666666667	0.040611814346	0.942806267806
0.2	8.33333333333	44.6666666667	0.276371308017	0.913672987892
0.25	8.0	42.5	0.325949367089	0.89828392094
0.3	7.83333333333	41.1666666667	0.350210970464	0.899661362943
0.35	7.66666666667	39.75	0.375	0.897610462454
0.4	7.16666666667	35.0833333333	0.452004219409	0.881684981685
0.45	7.16666666667	35.0833333333	0.452004219409	0.881684981685
0.5	7.16666666667	35.0833333333	0.452004219409	0.881684981685
0.55	7.16666666667	35.0833333333	0.452004219409	0.881684981685
0.6	7.16666666667	35.0833333333	0.452004219409	0.882219169719
0.65	7.16666666667	34.6666666667	0.454641350211	0.874740537241
0.7	7.16666666667	29.1666666667	0.489451476793	0.774881715507
0.75	7.16666666667	29.0833333333	0.489978902954	0.768257783883
0.8	7.16666666667	29.0833333333	0.489978902954	0.767593864469
0.85	7.16666666667	29.0833333333	0.489978902954	0.762946428571
0.9	7.16666666667	29.1666666667	0.489451476793	0.775848977411
0.95	7.16666666667	29.5	0.487341772152	0.771704250611
1.0	7.16666666667	29.9166666667	0.48470464135	0.765066010379
