beta	RateSoftSAT
0.0	0.9923360195126615
0.05	0.9529666265012279
0.1	0.9231103453536527
0.15	0.8978073478545757
0.2	0.8718769121088358
0.25	0.8478150107759082
0.3	0.8252107079883725
0.35	0.8036291557358359
0.4	0.7761201340305973
0.45	0.7672304085803902
0.5	0.7656349787559017
0.55	0.7454322818586876
0.6	0.7295314706651648
0.65	0.7017310650252928
0.7	0.685378159190135
0.75	0.6630828286962206
0.8	0.647475188227738
0.85	0.6307635123667229
0.9	0.6158854385789505
0.95	0.5924371061985046
1.0	0.5170336209696561
