info	GenerationTime	ExecutionTime	PlanTime	NumRoles(Before)	NumRoles(After)	NumAss(Before)	NumAss(After)	numUsers	NumPermessi	numAssUPA	numAssUA	numAssPA	opt	sim	ResultCompliance
exc_1_beta_0.2	0.0600000000559	12.53	0	13	10	65	54	11	11	26	32	22	0.0253164556962	0.955128205128	True
exc_2_beta_0.2	0.0399999998044	12.5299999998	0	13	10	65	54	11	11	26	32	22	0.0253164556962	0.955128205128	True
exc_3_beta_0.2	0.0600000000559	13.21	0	13	10	65	54	11	11	26	32	22	0.0253164556962	0.955128205128	True
exc_4_beta_0.2	0.0499999998137	12.95	0	13	10	65	54	11	11	26	32	22	0.0253164556962	0.955128205128	True
exc_5_beta_0.2	0.0699999998324	15.22	0	13	10	65	54	11	11	26	32	22	0.0253164556962	0.955128205128	True
exc_6_beta_0.2	0.0700000000652	14.8700000001	0	13	10	65	54	11	11	26	32	22	0.0253164556962	0.955128205128	True
exc_7_beta_0.2	0.0400000000373	18.54	0	13	10	65	52	11	11	26	32	20	0.0379746835443	0.910897435897	True
exc_8_beta_0.2	0.0700000000652	15.1899999999	0	13	10	65	54	11	11	26	32	22	0.0253164556962	0.955128205128	True
exc_9_beta_0.2	0.0700000000652	11.8300000001	0	13	10	65	54	11	11	26	31	23	0.0253164556962	0.932051282051	True
exc_10_beta_0.2	0.0799999998417	13.6099999999	0	13	10	65	53	11	11	26	32	21	0.0316455696203	0.910897435897	True
exc_11_beta_0.2	0.0500000000466	18.3399999999	0	13	10	65	54	11	11	26	31	23	0.0253164556962	0.940384615385	True
exc_0_beta_0.25	0.0799999998417	35.5799999998	0	13	8	65	42	11	11	26	25	17	0.329113924051	0.897836538462	True
exc_1_beta_0.25	0.110000000102	39.6000000001	0	13	8	65	43	11	11	26	25	18	0.322784810127	0.916666666667	True
exc_2_beta_0.25	0.0600000000559	44.0500000003	0	13	8	65	43	11	11	26	25	18	0.322784810127	0.916666666667	True
exc_3_beta_0.25	0.0900000000838	32.6599999999	0	13	8	65	43	11	11	26	25	18	0.322784810127	0.916666666667	True
exc_4_beta_0.25	0.10999999987	39.6899999999	0	13	8	65	43	11	11	26	25	18	0.322784810127	0.916666666667	True
exc_5_beta_0.25	0.0600000000559	39.1899999999	0	13	8	65	43	11	11	26	25	18	0.322784810127	0.916666666667	True
exc_6_beta_0.25	0.129999999888	36.8899999999	0	13	8	65	43	11	11	26	25	18	0.322784810127	0.916666666667	True
exc_7_beta_0.25	0.0900000000838	45.9300000002	0	13	8	65	41	11	11	26	25	16	0.335443037975	0.866185897436	True
exc_8_beta_0.25	0.100000000093	36.28	0	13	8	65	43	11	11	26	25	18	0.322784810127	0.916666666667	True
exc_9_beta_0.25	0.0900000000838	45.8299999998	0	13	8	65	43	11	11	26	24	19	0.322784810127	0.889423076923	True
exc_10_beta_0.25	0.0999999998603	52.45	0	13	8	65	42	11	11	26	25	17	0.329113924051	0.855929487179	True
exc_11_beta_0.25	0.10999999987	40.8200000001	0	13	8	65	43	11	11	26	24	19	0.322784810127	0.916666666667	True
exc_0_beta_0.3	0.0800000000745	1070.01	0	13	8	65	42	11	11	26	25	17	0.329113924051	0.897836538462	True
exc_1_beta_0.3	0.139999999898	680.04	0	13	8	65	43	11	11	26	25	18	0.322784810127	0.916666666667	True
exc_2_beta_0.3	0.130000000121	1474.18	0	13	8	65	43	11	11	26	25	18	0.322784810127	0.916666666667	True
exc_3_beta_0.3	0.129999999888	371.24	0	13	7	65	35	11	11	26	17	18	0.46835443038	0.897435897436	True
exc_4_beta_0.3	0.14000000013	1261.05	0	13	8	65	43	11	11	26	25	18	0.322784810127	0.916666666667	True
exc_5_beta_0.3	0.119999999879	726.42	0	13	8	65	43	11	11	26	25	18	0.322784810127	0.916666666667	True
exc_6_beta_0.3	0.120000000112	724.55	0	13	8	65	43	11	11	26	25	18	0.322784810127	0.916666666667	True
exc_7_beta_0.3	0.120000000112	1518.67	0	13	7	65	32	11	11	26	15	17	0.487341772152	0.838644688645	True
exc_8_beta_0.3	2.79999999981	365.75	0	13	8	65	43	11	11	26	25	18	0.322784810127	0.916666666667	True
exc_9_beta_0.3	0.0800000000745	1212.68	0	13	8	65	43	11	11	26	24	19	0.322784810127	0.889423076923	True
exc_10_beta_0.3	0.0799999998417	844.26	0	13	7	65	34	11	11	26	16	18	0.474683544304	0.850549450549	True
exc_11_beta_0.3	0.0799999998417	1113.39	0	13	8	65	43	11	11	26	24	19	0.322784810127	0.89983974359	True
exc_0_beta_0.35	0.119999999879	10508.07	0	13	7	65	32	11	11	26	15	17	0.487341772152	0.838644688645	True
exc_1_beta_0.35	0.0799999998417	8148.34	0	13	8	65	43	11	11	26	25	18	0.322784810127	0.916666666667	True
exc_2_beta_0.35	0.10999999987	9080.14	0	13	8	65	43	11	11	26	25	18	0.322784810127	0.916666666667	True
exc_3_beta_0.35	0.120000000112	12664.46	0	13	7	65	35	11	11	26	17	18	0.46835443038	0.897435897436	True
exc_4_beta_0.35	0.119999999879	13211.81	0	13	7	65	34	11	11	26	15	19	0.474683544304	0.897435897436	True
exc_5_beta_0.35	0.209999999963	12624.33	0	13	7	65	34	11	11	26	15	19	0.474683544304	0.897435897436	True
exc_6_beta_0.35	10.02	13535.08	0	13	7	65	34	11	11	26	15	19	0.474683544304	0.897435897436	True
exc_7_beta_0.35	0.130000000121	14448.79	0	13	7	65	32	11	11	26	15	17	0.487341772152	0.838644688645	True
exc_8_beta_0.35	3.32000000007	12576.89	0	13	7	65	34	11	11	26	15	19	0.474683544304	0.897435897436	True
exc_9_beta_0.35	3.37999999989	12436.46	0	13	7	65	34	11	11	26	14	20	0.474683544304	0.867216117216	True
exc_10_beta_0.35	1.5	16167.98	0	13	7	65	34	11	11	26	16	18	0.474683544304	0.850549450549	True
