info	GenerationTime	ExecutionTime	NumVariables	NumClauses	DimensionFormula	NumRoles(Before)	NumRoles(After)	NumZeros(Before)	NumZeros(After)	ResultCompliance
exc_0_w_0.0	0.010468006134	184.047904015	686	3388	55743	13	13	65	66	0.980769230769	True
exc_1_w_0.0	0.0099470615387	184.063770056	686	3388	55743	13	13	65	66	1.0	True
exc_2_w_0.0	0.0104348659515	184.16028595	686	3388	55743	13	13	65	66	1.0	True
exc_3_w_0.0	0.0102920532227	184.070219994	686	3388	55743	13	13	65	66	1.0	True
exc_4_w_0.0	0.0106790065765	184.299891949	686	3388	55757	13	13	65	66	1.0	True
exc_5_w_0.0	0.0103120803833	184.449788094	686	3388	55743	13	13	65	66	1.0	True
exc_6_w_0.0	0.0104629993439	184.422295094	686	3388	55757	13	13	65	66	1.0	True
exc_7_w_0.0	0.0120050907135	184.46551609	686	3388	55734	13	13	65	65	0.974358974359	True
exc_8_w_0.0	0.0102200508118	184.502686024	686	3388	55743	13	13	65	66	1.0	True
exc_9_w_0.0	0.0103199481964	184.497963905	686	3388	55757	13	13	65	66	1.0	True
exc_10_w_0.0	0.00997996330261	184.557143927	686	3388	55743	13	13	65	65	0.967948717949	True
exc_11_w_0.0	0.0100431442261	184.610764027	686	3388	55756	13	13	65	66	1.0	True
exc_0_w_0.05	0.0107610225677	184.628848076	686	3388	55462	13	13	65	66	0.980769230769	True
exc_1_w_0.05	0.010360956192	184.678887844	686	3388	55462	13	13	65	66	1.0	True
exc_2_w_0.05	0.00991892814636	184.757678032	686	3388	55462	13	13	65	66	1.0	True
exc_3_w_0.05	0.0103671550751	184.794069052	686	3388	55462	13	13	65	66	1.0	True
exc_4_w_0.05	0.0106739997864	184.881741047	686	3388	55476	13	13	65	66	1.0	True
exc_5_w_0.05	0.0103321075439	184.813821077	686	3388	55462	13	13	65	66	1.0	True
exc_6_w_0.05	0.0105819702148	184.516241074	686	3388	55476	13	13	65	66	1.0	True
exc_7_w_0.05	0.00998401641846	184.339522123	686	3388	55453	13	13	65	65	0.974358974359	True
exc_8_w_0.05	0.0105230808258	183.981868982	686	3388	55462	13	13	65	66	1.0	True
exc_9_w_0.05	0.0106599330902	183.899538994	686	3388	55476	13	13	65	66	1.0	True
exc_10_w_0.05	0.00981497764587	183.481544971	686	3388	55462	13	13	65	65	0.967948717949	True
exc_11_w_0.05	0.0110290050507	183.463852882	686	3388	55475	13	13	65	66	1.0	True
exc_0_w_0.1	0.0102100372314	183.28173995	686	3388	55771	13	9	65	59	0.918803418803	True
exc_1_w_0.1	0.0103769302368	183.022439957	686	3388	55771	13	10	65	62	0.955128205128	True
exc_2_w_0.1	0.010046005249	182.82294488	686	3388	55771	13	10	65	62	0.955128205128	True
exc_3_w_0.1	0.0104320049286	182.534606934	686	3388	55771	13	10	65	62	0.955128205128	True
exc_4_w_0.1	0.0104420185089	182.399470806	686	3388	55785	13	10	65	62	0.955128205128	True
exc_5_w_0.1	0.0105087757111	182.076279879	686	3388	55771	13	10	65	62	0.955128205128	True
exc_6_w_0.1	0.010498046875	181.978448153	686	3388	55785	13	10	65	62	0.955128205128	True
exc_7_w_0.1	0.0100519657135	181.724607944	686	3388	55762	13	10	65	60	0.910897435897	True
exc_8_w_0.1	0.0103409290314	181.520152092	686	3388	55771	13	10	65	62	0.955128205128	True
exc_9_w_0.1	0.0107040405273	181.469357014	686	3388	55785	13	10	65	62	0.955128205128	True
exc_10_w_0.1	0.0105168819427	181.281615973	686	3388	55771	13	10	65	61	0.910897435897	True
exc_11_w_0.1	0.0104050636292	180.932180882	686	3388	55784	13	10	65	62	0.955128205128	True
exc_0_w_0.15	0.0105719566345	180.642635107	686	3388	55771	13	8	65	56	0.897836538462	True
exc_1_w_0.15	0.0103440284729	180.70995307	686	3388	55771	13	9	65	59	0.935897435897	True
exc_2_w_0.15	0.010929107666	180.579972029	686	3388	55771	13	8	65	55	0.916666666667	True
exc_3_w_0.15	0.0105550289154	180.495301962	686	3388	55771	13	8	65	55	0.916666666667	True
exc_4_w_0.15	0.0103580951691	180.478414059	686	3388	55785	13	8	65	55	0.916666666667	True
exc_5_w_0.15	0.0106310844421	180.560863018	686	3388	55771	13	8	65	55	0.916666666667	True
exc_6_w_0.15	0.0106730461121	180.399944067	686	3388	55785	13	9	65	59	0.935897435897	True
exc_7_w_0.15	0.0108089447021	180.36597991	686	3388	55762	13	9	65	57	0.888888888889	True
exc_8_w_0.15	0.0106780529022	180.32340312	686	3388	55771	13	9	65	59	0.935897435897	True
exc_9_w_0.15	0.0102400779724	180.365675211	686	3388	55785	13	8	65	55	0.916666666667	True
exc_10_w_0.15	0.0102899074554	180.24764204	686	3388	55771	13	9	65	58	0.888888888889	True
exc_11_w_0.15	0.0106480121613	180.254561186	686	3388	55784	13	8	65	55	0.923076923077	True
exc_0_w_0.2	0.0100331306458	180.203444958	686	3388	55771	13	8	65	56	0.897836538462	True
exc_1_w_0.2	0.0110409259796	180.245260954	686	3388	55771	13	8	65	54	0.923076923077	True
exc_2_w_0.2	0.0101709365845	180.094845057	686	3388	55771	13	8	65	55	0.916666666667	True
exc_3_w_0.2	0.0154390335083	180.058060884	686	3388	55771	13	8	65	55	0.916666666667	True
exc_4_w_0.2	0.0116119384766	179.864040852	686	3388	55785	13	8	65	55	0.916666666667	True
exc_5_w_0.2	0.0103650093079	179.869619846	686	3388	55771	13	8	65	55	0.916666666667	True
exc_6_w_0.2	0.0154058933258	179.787339926	686	3388	55785	13	8	65	54	0.916666666667	True
exc_7_w_0.2	0.0106370449066	179.767762899	686	3388	55762	13	8	65	55	0.866185897436	True
exc_8_w_0.2	0.0104308128357	179.722606897	686	3388	55771	13	8	65	54	0.916666666667	True
exc_9_w_0.2	0.0106859207153	179.728914976	686	3388	55785	13	8	65	55	0.916666666667	True
exc_10_w_0.2	0.010715007782	179.688840151	686	3388	55771	13	8	65	53	0.855929487179	True
exc_11_w_0.2	0.0108089447021	179.797984838	686	3388	55784	13	8	65	55	0.923076923077	True
exc_0_w_0.25	0.0102097988129	179.794555902	686	3388	55771	13	8	65	56	0.897836538462	True
exc_1_w_0.25	0.0101020336151	179.779139996	686	3388	55771	13	8	65	54	0.923076923077	True
exc_2_w_0.25	0.0103089809418	179.766434908	686	3388	55771	13	8	65	55	0.916666666667	True
exc_3_w_0.25	0.0107500553131	179.669038057	686	3388	55771	13	7	65	46	0.897435897436	True
exc_4_w_0.25	0.0101139545441	179.797866106	686	3388	55785	13	8	65	55	0.916666666667	True
exc_5_w_0.25	0.0105731487274	179.674240112	686	3388	55771	13	8	65	55	0.916666666667	True
exc_6_w_0.25	0.0106060504913	179.65546608	686	3388	55785	13	8	65	54	0.916666666667	True
exc_7_w_0.25	0.0102241039276	179.648250103	686	3388	55762	13	8	65	52	0.872596153846	True
exc_8_w_0.25	0.0107660293579	179.680269003	686	3388	55771	13	7	65	45	0.897435897436	True
exc_9_w_0.25	0.010792016983	179.670320988	686	3388	55785	13	8	65	55	0.916666666667	True
exc_10_w_0.25	0.0100321769714	179.7367661	686	3388	55771	13	8	65	53	0.855929487179	True
exc_11_w_0.25	0.0105938911438	179.73387289	686	3388	55784	13	8	65	55	0.923076923077	True
exc_0_w_0.3	0.0106229782104	179.633882999	686	3388	55771	13	8	65	56	0.897836538462	True
exc_1_w_0.3	0.0108239650726	179.615493059	686	3388	55771	13	8	65	54	0.923076923077	True
exc_2_w_0.3	0.0105800628662	179.666640043	686	3388	55771	13	8	65	55	0.916666666667	True
