info	GenerationTime	ExecutionTime	PlanTime	NumRoles(Before)	NumRoles(After)	NumAss(Before)	NumAss(After)	numUsers	NumPermessi	numAssUPA	numAssUA	numAssPA	opt	sim	ResultCompliance
exc_2_beta_0.2	0.10999999987	41.8500000001	0	13	10	65	54	11	11	26	32	22	0.0253164556962	0.955128205128	True
exc_3_beta_0.2	0.120000000112	18.5	0	13	10	65	54	11	11	26	32	22	0.0253164556962	0.955128205128	True
exc_4_beta_0.2	0.10999999987	18.3299999998	0	13	10	65	54	11	11	26	32	22	0.0253164556962	0.955128205128	True
exc_5_beta_0.2	0.110000000335	26.6000000001	0	13	10	65	54	11	11	26	32	22	0.0253164556962	0.955128205128	True
exc_6_beta_0.2	0.110000000335	19.9700000002	0	13	10	65	54	11	11	26	32	22	0.0253164556962	0.955128205128	True
exc_7_beta_0.2	0.0700000000652	65.3500000001	0	13	10	65	52	11	11	26	32	20	0.0379746835443	0.910897435897	True
exc_8_beta_0.2	0.0700000000652	20.1399999999	0	13	10	65	54	11	11	26	32	22	0.0253164556962	0.955128205128	True
exc_9_beta_0.2	0.110000000102	33.5800000001	0	13	10	65	54	11	11	26	32	22	0.0253164556962	0.955128205128	True
exc_10_beta_0.2	0.10999999987	39.9399999997	0	13	10	65	53	11	11	26	32	21	0.0316455696203	0.910897435897	True
exc_11_beta_0.2	0.110000000102	4.43000000017	0	13	10	65	54	11	11	26	31	23	0.0253164556962	0.940384615385	True
exc_0_beta_0.25	0.0999999998603	509.6	0	13	8	65	42	11	11	26	25	17	0.329113924051	0.897836538462	True
exc_1_beta_0.25	0.869999999646	444.16	0	13	8	65	43	11	11	26	25	18	0.322784810127	0.916666666667	True
exc_2_beta_0.25	0.119999999879	540.63	0	13	8	65	43	11	11	26	25	18	0.322784810127	0.916666666667	True
exc_3_beta_0.25	0.139999999898	642.5	0	13	8	65	43	11	11	26	25	18	0.322784810127	0.916666666667	True
exc_4_beta_0.25	0.0900000000838	535.34	0	13	8	65	43	11	11	26	25	18	0.322784810127	0.916666666667	True
exc_5_beta_0.25	0.160000000149	557.73	0	13	8	65	43	11	11	26	25	18	0.322784810127	0.916666666667	True
exc_6_beta_0.25	0.15000000014	909.29	0	13	8	65	43	11	11	26	25	18	0.322784810127	0.916666666667	True
exc_7_beta_0.25	0.169999999925	1415.76	0	13	8	65	41	11	11	26	25	16	0.335443037975	0.866185897436	True
exc_8_beta_0.25	0.169999999925	683.36	0	13	8	65	43	11	11	26	25	18	0.322784810127	0.916666666667	True
exc_9_beta_0.25	0.329999999609	1549.28	0	13	8	65	43	11	11	26	24	19	0.322784810127	0.889423076923	True
exc_10_beta_0.25	0.520000000019	2174.03	0	13	8	65	42	11	11	26	25	17	0.329113924051	0.855929487179	True
exc_11_beta_0.25	0.110000000102	67.6099999999	0	13	8	65	43	11	11	26	24	19	0.322784810127	0.89983974359	True
exc_0_beta_0.3	0.169999999925	42546.72	0	null	null	null	null	null	11	null	null	null	null	null	False
