index_time	timeout	AvgRoleNumber	AvgAssignments	Similarity	Opt
14	140	46.4736842105	1092.21052632	0.746415581236	0.537265732591
16	160	46.4736842105	1092.78947368	0.746454199611	0.537183402191
19	190	46.4736842105	1093.10526316	0.747321575953	0.537138494701
10	100	47.3157894737	1070.05263158	0.743007836161	0.529085084725
18	180	46.4736842105	1093.10526316	0.747321575953	0.537138494701
12	120	46.9473684211	1078.10526316	0.742611401147	0.532872283097
8	80	47.6842105263	1057.26315789	0.742466935398	0.525866714568
6	60	48.3684210526	1034.21052632	0.735753746096	0.519946410395
4	40	48.8421052632	1025.36842105	0.737821910875	0.514564996108
9	90	47.4736842105	1063.57894737	0.743402394796	0.52787258248
15	150	46.4736842105	1092.21052632	0.746415581236	0.537265732591
11	110	47.0	1078.52631579	0.744043428753	0.532101371175
13	130	46.6842105263	1091.15789474	0.745289963093	0.534676067301
2	20	50.4736842105	1010.31578947	0.723693295291	0.493241422669
7	70	48.1578947368	1051.15789474	0.744494284268	0.520410454464
17	170	46.4736842105	1090.21052632	0.745484422736	0.537550146698
5	50	48.5263157895	1029.89473684	0.73749453719	0.518382132806
3	30	49.8421052632	1023.89473684	0.737171395308	0.500366744506
1	10	55.3684210526	1091.68421053	0.682818243812	0.407355846955
33	330	45.6842105263	1089.15789474	0.748762872764	0.548051014909
29	290	46.0526315789	1102.68421053	0.750173239975	0.541359798814
35	350	45.6842105263	1089.15789474	0.748762872764	0.548051014909
38	380	45.6315789474	1089.52631579	0.746904703733	0.548694688941
27	270	46.2105263158	1110.10526316	0.752376283555	0.538216274475
31	310	45.9473684211	1100.78947368	0.751012686538	0.543066283456
37	370	45.6315789474	1088.05263158	0.747162566863	0.54890425723
23	230	46.3157894737	1097.84210526	0.750690442657	0.538568049817
25	250	46.2631578947	1106.68421053	0.753091942179	0.538021675349
28	280	46.0526315789	1102.68421053	0.750173239975	0.541359798814
21	210	46.4210526316	1101.21052632	0.750442419292	0.536681935213
30	300	45.9473684211	1100.78947368	0.751012686538	0.543066283456
34	340	45.6842105263	1089.15789474	0.748762872764	0.548051014909
32	320	45.9473684211	1100.78947368	0.751012686538	0.543066283456
24	240	46.2631578947	1106.68421053	0.753091942179	0.538021675349
26	260	46.2105263158	1110.47368421	0.752231394452	0.538163882402
36	360	45.6315789474	1088.05263158	0.747162566863	0.54890425723
20	200	46.4736842105	1093.10526316	0.747321575953	0.537138494701
22	220	46.4210526316	1101.21052632	0.750442419292	0.536681935213
57	570	45.2105263158	1103.0	0.745813833722	0.552197473205
48	480	45.5789473684	1100.10526316	0.744852001591	0.547856415783
52	520	45.5789473684	1116.89473684	0.747786439303	0.545408957547
46	460	45.5789473684	1100.10526316	0.744852001591	0.547856415783
50	500	45.5263157895	1102.89473684	0.744041040894	0.548125860727
54	540	45.5789473684	1116.89473684	0.747786439303	0.545408957547
42	420	45.5789473684	1095.68421053	0.745215910991	0.548485120651
44	440	45.5789473684	1098.94736842	0.746710801073	0.548021076582
56	560	45.5789473684	1116.89473684	0.747786439303	0.545408957547
40	400	45.5263157895	1083.78947368	0.745387828575	0.550887671397
47	470	45.5789473684	1100.10526316	0.744852001591	0.547856415783
49	490	45.5789473684	1100.10526316	0.744852001591	0.547856415783
53	530	45.5789473684	1116.89473684	0.747786439303	0.545408957547
43	430	45.5789473684	1095.68421053	0.745215910991	0.548485120651
51	510	45.5263157895	1102.89473684	0.744041040894	0.548125860727
45	450	45.5789473684	1100.10526316	0.744852001591	0.547856415783
55	550	45.5789473684	1116.89473684	0.747786439303	0.545408957547
39	390	45.6315789474	1089.52631579	0.746904703733	0.548694688941
41	410	45.5789473684	1095.68421053	0.745215910991	0.548485120651
59	590	45.2105263158	1103.0	0.745813833722	0.552197473205
58	580	45.2105263158	1103.0	0.745813833722	0.552197473205
60	600	45.2105263158	1105.31578947	0.74623219469	0.551868151608
