index_time	timeout	AvgRoleNumber	AvgAssignments	Similarity	Opt
12	120	52.7368421053	1293.21052632	0.795239525421	0.419533261481
10	100	53.0	1270.94736842	0.784684175537	0.418530327525
2	20	53.5263157895	1072.78947368	0.732968118389	0.438342015448
4	40	53.3684210526	1186.73684211	0.765541019394	0.425273935692
14	140	53.1578947368	1319.57894737	0.801637426424	0.409017424106
8	80	53.6842105263	1246.94736842	0.776521403316	0.411681935213
16	160	53.1578947368	1344.84210526	0.811249484336	0.404721274175
6	60	53.9473684211	1210.21052632	0.765000104933	0.413276151129
19	190	53.4210526316	1349.15789474	0.812303949493	0.400028441411
18	180	53.4210526316	1349.15789474	0.812303949493	0.400028441411
7	70	53.4210526316	1219.42105263	0.76861634599	0.419585653554
15	150	53.3157894737	1340.52631579	0.809565113461	0.403067181606
13	130	52.4210526316	1297.42105263	0.797202073503	0.422856415783
5	50	53.8947368421	1196.68421053	0.767768641043	0.415850847255
11	110	53.1578947368	1288.47368421	0.791960436892	0.413934794324
9	90	53.6315789474	1256.89473684	0.779114867068	0.410768816239
17	170	53.4210526316	1349.15789474	0.812303949493	0.400028441411
3	30	53.6315789474	1147.21052632	0.755084602966	0.426770852045
1	10	57.0526315789	1051.26315789	0.688118850239	0.385141608287
29	290	54.6842105263	1430.52631579	0.840296728426	0.37049428178
31	310	54.9473684211	1438.63157895	0.841578919926	0.365337404946
23	230	53.0	1361.52631579	0.81741005598	0.404496736722
25	250	53.0	1361.52631579	0.81741005598	0.404496736722
21	210	53.1578947368	1346.63157895	0.813186314649	0.40401772349
27	270	53.7368421053	1387.10526316	0.826719135713	0.389931740614
33	330	55.0526315789	1453.52631579	0.845369295346	0.36157266032
38	380	54.7894736842	1453.63157895	0.846476072653	0.365636788216
35	350	55.0526315789	1453.89473684	0.84565038709	0.361520268247
37	370	54.7894736842	1453.63157895	0.846476072653	0.365636788216
26	260	53.5263157895	1379.26315789	0.82276562692	0.394340159272
24	240	53.0	1361.52631579	0.81741005598	0.404496736722
32	320	54.9473684211	1443.10526316	0.842437078051	0.364701215496
34	340	55.0526315789	1453.52631579	0.845369295346	0.36157266032
30	300	54.9473684211	1438.63157895	0.841578919926	0.365337404946
20	200	53.4210526316	1349.15789474	0.812303949493	0.400028441411
36	360	54.7894736842	1453.63157895	0.846476072653	0.365636788216
22	220	53.5263157895	1368.0	0.818575783097	0.395792168134
28	280	53.8947368421	1410.42105263	0.833579844782	0.385141608287
48	480	54.9473684211	1454.68421053	0.8491396042	0.363084545836
44	440	54.7894736842	1453.63157895	0.846476072653	0.365636788216
42	420	54.7894736842	1453.63157895	0.846476072653	0.365636788216
40	400	54.7894736842	1453.63157895	0.846476072653	0.365636788216
46	460	54.9473684211	1454.68421053	0.8491396042	0.363084545836
52	520	54.8947368421	1454.31578947	0.85039103309	0.36395275732
54	540	54.6842105263	1453.73684211	0.851090738718	0.367448057003
56	560	54.5263157895	1451.31578947	0.851313312178	0.370194898509
50	500	54.8947368421	1454.31578947	0.85039103309	0.36395275732
45	450	54.7894736842	1453.63157895	0.846476072653	0.365636788216
43	430	54.7894736842	1453.63157895	0.846476072653	0.365636788216
57	570	54.5789473684	1451.78947368	0.851213363392	0.369341656188
53	530	54.6842105263	1453.73684211	0.851090738718	0.367448057003
51	510	54.8947368421	1454.31578947	0.85039103309	0.36395275732
39	390	54.7894736842	1453.63157895	0.846476072653	0.365636788216
49	490	54.8947368421	1454.31578947	0.85039103309	0.36395275732
55	550	54.6842105263	1453.73684211	0.851090738718	0.367448057003
47	470	54.9473684211	1454.68421053	0.8491396042	0.363084545836
41	410	54.7894736842	1453.63157895	0.846476072653	0.365636788216
59	590	54.5789473684	1451.78947368	0.851213363392	0.369341656188
58	580	54.5789473684	1451.78947368	0.851213363392	0.369341656188
60	600	54.5789473684	1451.78947368	0.851213363392	0.369341656188
