index_time	timeout	AvgRoleNumber	AvgAssignments	Similarity	Opt
19	190	43.4736842105	755.263157895	0.658073640422	0.623735105682
16	160	43.6842105263	744.894736842	0.655323448777	0.622604933836
14	140	43.7894736842	738.526315789	0.654184057731	0.622193281839
10	100	44.2631578947	749.0	0.651391705582	0.614648823424
12	120	44.0	748.684210526	0.659536040859	0.618069277289
8	80	44.4736842105	754.473684211	0.651674241126	0.611161008323
18	180	43.4736842105	755.263157895	0.658073640422	0.623735105682
6	60	44.8947368421	764.263157895	0.657798858363	0.604439853901
4	40	45.7368421053	775.894736842	0.649259895605	0.591843302796
11	110	44.0526315789	748.368421053	0.654536566441	0.617418118676
9	90	44.3157894737	750.736842105	0.650347469725	0.613735704449
15	150	43.7368421053	740.157894737	0.65664556691	0.622612418418
2	20	46.7368421053	782.052631579	0.645268525601	0.577652535776
13	130	43.9473684211	748.736842105	0.657265387085	0.618742889647
5	50	45.4210526316	769.789473684	0.648949283145	0.596798095922
7	70	44.6842105263	759.157894737	0.655668824271	0.607830369439
17	170	43.5789473684	749.631578947	0.65557888417	0.623248607868
3	30	45.8947368421	775.631578947	0.650164229202	0.589792527394
1	10	52.1578947368	838.631578947	0.631960445824	0.492298365367
33	330	42.6315789474	765.0	0.661417995094	0.632484581762
29	290	42.7368421053	758.315789474	0.662575533643	0.632252559727
27	270	42.7894736842	758.842105263	0.661725006572	0.631526555296
38	380	42.4736842105	769.947368421	0.661305676819	0.633674630262
35	350	42.5789473684	766.684210526	0.662108444174	0.632881264595
31	310	42.6315789474	761.789473684	0.664492471438	0.632941141249
25	250	43.1578947368	759.736842105	0.658654208704	0.626990898749
37	370	42.4736842105	769.947368421	0.661305676819	0.633674630262
23	230	43.2105263158	753.578947368	0.659395909916	0.627215436201
21	210	43.3157894737	753.947368421	0.658949343229	0.625875696066
30	300	42.6842105263	758.473684211	0.661390269321	0.632866295431
28	280	42.7368421053	756.421052632	0.662698904029	0.63252200467
34	340	42.6315789474	765.0	0.661417995094	0.632484581762
24	240	43.1578947368	759.736842105	0.658654208704	0.626990898749
26	260	42.7368421053	762.947368421	0.659710211955	0.631578947368
36	360	42.5263157895	767.684210526	0.662681439429	0.633360277828
32	320	42.6315789474	765.0	0.661417995094	0.632484581762
20	200	43.3157894737	753.947368421	0.658949343229	0.625875696066
22	220	43.3157894737	756.631578947	0.658635257884	0.625493982396
48	480	42.1578947368	766.736842105	0.662906385701	0.637903418957
46	460	42.1578947368	766.736842105	0.662906385701	0.637903418957
50	500	42.1052631579	762.684210526	0.660713185826	0.639115921202
52	520	42.0	758.105263158	0.660218718854	0.641054427879
44	440	42.1578947368	767.684210526	0.664492894801	0.637768696485
42	420	42.1578947368	767.684210526	0.664492894801	0.637768696485
54	540	42.0	758.105263158	0.660218718854	0.641054427879
57	570	41.9473684211	760.894736842	0.663737806132	0.641278965331
56	560	41.9473684211	756.421052632	0.661218318313	0.641915154781
40	400	42.3684210526	769.473684211	0.665455448347	0.634999401233
47	470	42.1578947368	766.736842105	0.662906385701	0.637903418957
49	490	42.1052631579	762.684210526	0.660713185826	0.639115921202
53	530	42.0	758.105263158	0.660218718854	0.641054427879
55	550	42.0	758.105263158	0.660218718854	0.641054427879
43	430	42.1578947368	767.684210526	0.664492894801	0.637768696485
45	450	42.1578947368	766.736842105	0.662906385701	0.637903418957
39	390	42.4736842105	769.947368421	0.661305676819	0.633674630262
51	510	42.0	758.105263158	0.660218718854	0.641054427879
41	410	42.3684210526	769.473684211	0.665455448347	0.634999401233
59	590	41.9473684211	770.421052632	0.667048209	0.639924256033
58	580	41.9473684211	764.578947368	0.665260594006	0.640755044608
60	600	41.9473684211	770.421052632	0.667048209	0.639924256033
