info	GenerationTime	ExecutionTime	NumRoles(Before)	NumRoles(After)	NumAss(Before)	NumAss(After)	numUsers	NumPermessi	numAssUPA	numAssUA	numAssPA	opt	sim	ResultCompliance
exc_path_0_exc_0_timeOut_10_w_0.15	52.2600000007	144.31	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_0_exc_1_timeOut_10_w_0.15	44.8599999994	146.05	58	43	1111	770	79	231	726	152	618	0.628299744536	0.655673753164	True
exc_path_0_exc_2_timeOut_10_w_0.15	33.6999999993	134.959999999	43	34	770	669	79	231	727	135	534	0.741024549454	0.660565253482	True
exc_path_0_exc_3_timeOut_10_w_0.15	26.8100000005	127.98	34	33	669	714	79	231	728	137	577	0.744182746879	0.937479847386	True
exc_path_0_exc_4_timeOut_10_w_0.15	26.3399999999	128.260000001	33	31	714	696	79	231	729	133	563	0.764931195914	0.933217429233	True
exc_path_0_exc_5_timeOut_10_w_0.15	24.5399999991	126.84	31	31	696	721	79	231	730	132	589	0.761418439716	0.955928619739	True
exc_path_1_exc_0_timeOut_10_w_0.15	57.6899999995	160.39	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_1_exc_1_timeOut_10_w_0.15	44.9500000002	147.319999999	58	43	1111	770	79	231	726	152	618	0.628299744536	0.655673753164	True
exc_path_1_exc_2_timeOut_10_w_0.15	34.9699999997	137.149999999	43	34	770	669	79	231	727	135	534	0.741024549454	0.660565253482	True
exc_path_1_exc_3_timeOut_10_w_0.15	26.6499999994	128.819999999	34	33	669	714	79	231	728	137	577	0.744182746879	0.937479847386	True
exc_path_1_exc_4_timeOut_10_w_0.15	25.7299999995	127.970000001	33	32	714	710	79	231	729	140	570	0.754007660661	0.950246373827	True
exc_path_1_exc_5_timeOut_10_w_0.15	25.2699999996	126.95	32	31	710	704	79	231	730	138	566	0.763829787234	0.960247203391	True
exc_path_2_exc_0_timeOut_10_w_0.15	57.3199999994	160.09	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_2_exc_1_timeOut_10_w_0.15	44.8999999994	147.41	58	43	1111	770	79	231	726	152	618	0.628299744536	0.655673753164	True
exc_path_2_exc_2_timeOut_10_w_0.15	33.9800000004	136.140000001	43	34	770	669	79	231	727	135	534	0.741024549454	0.660565253482	True
exc_path_2_exc_3_timeOut_10_w_0.15	27.0	129.49	34	32	669	702	79	231	728	143	559	0.755107832009	0.915611005142	True
exc_path_2_exc_4_timeOut_10_w_0.15	25.4299999997	127.46	32	31	702	686	79	231	729	136	550	0.766349836856	0.9429659786	True
exc_path_2_exc_5_timeOut_10_w_0.15	24.2300000004	126.02	31	30	686	703	79	231	730	134	569	0.772624113475	0.934605051409	True
exc_path_3_exc_0_timeOut_10_w_0.15	57.1600000001	159.48	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_3_exc_1_timeOut_10_w_0.15	44.6500000004	147.2	58	43	1111	770	79	231	726	152	618	0.628299744536	0.655673753164	True
