info	GenerationTime	ExecutionTime	NumRoles(Before)	NumRoles(After)	NumAss(Before)	NumAss(After)	numUsers	NumPermessi	numAssUPA	numAssUA	numAssPA	opt	sim	ResultCompliance
exc_path_0_exc_0_timeOut_10_w_0.1	8.00999999978	22.6199999992	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_0_exc_1_timeOut_10_w_0.1	5.94000000041	20.4300000006	58	43	1111	770	79	231	726	152	618	0.628299744536	0.655673753164	True
exc_path_0_exc_2_timeOut_10_w_0.1	4.53000000119	18.8900000015	43	38	770	720	79	231	727	136	584	0.692918972612	0.737283447425	True
exc_path_0_exc_3_timeOut_10_w_0.1	4.0	18.2700000005	38	36	720	716	79	231	728	136	580	0.714528944381	0.977903809647	True
exc_path_0_exc_4_timeOut_10_w_0.1	3.96999999974	18.6000000006	36	35	716	721	79	231	729	136	585	0.723932472691	0.978420549723	True
exc_path_0_exc_5_timeOut_10_w_0.1	3.68999999948	17.9299999988	35	34	721	738	79	231	730	137	601	0.73134751773	0.95542498039	True
exc_path_1_exc_0_timeOut_10_w_0.1	7.91999999899	22.1399999987	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_1_exc_1_timeOut_10_w_0.1	6.11000000034	23.2700000005	58	43	1111	770	79	231	726	152	618	0.628299744536	0.655673753164	True
exc_path_1_exc_2_timeOut_10_w_0.1	7.83999999985	32.29	43	38	770	720	79	231	727	136	584	0.692918972612	0.737283447425	True
exc_path_1_exc_3_timeOut_10_w_0.1	6.99999999907	31.8399999989	38	36	720	716	79	231	728	136	580	0.714528944381	0.977903809647	True
exc_path_1_exc_4_timeOut_10_w_0.1	6.58999999985	31.2999999998	36	35	716	745	79	231	729	134	611	0.72052773443	0.917189133405	True
exc_path_1_exc_5_timeOut_10_w_0.1	6.28000000026	30.6699999999	35	34	745	750	79	231	730	137	613	0.729645390071	0.950232853171	True
exc_path_2_exc_0_timeOut_10_w_0.1	13.1900000004	37.8300000001	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_2_exc_1_timeOut_10_w_0.1	10.7000000002	35.1499999994	58	43	1111	770	79	231	726	152	618	0.628299744536	0.655673753164	True
exc_path_2_exc_2_timeOut_10_w_0.1	7.91999999993	32.3799999999	43	38	770	720	79	231	727	136	584	0.692918972612	0.737283447425	True
exc_path_2_exc_3_timeOut_10_w_0.1	6.8200000003	31.4000000004	38	36	720	722	79	231	728	136	586	0.713677639047	0.93979114886	True
exc_path_2_exc_4_timeOut_10_w_0.1	6.5700000003	30.8700000001	36	34	722	716	79	231	729	134	582	0.734430415662	0.946655275065	True
exc_path_2_exc_5_timeOut_10_w_0.1	6.15000000037	30.7400000002	34	33	716	721	79	231	730	134	587	0.743262411348	0.943717254556	True
exc_path_3_exc_0_timeOut_10_w_0.1	17.8500000006	52.3900000006	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_3_exc_1_timeOut_10_w_0.1	15.75	56.5900000008	58	43	1111	770	79	231	726	152	618	0.628299744536	0.655673753164	True
exc_path_3_exc_2_timeOut_10_w_0.1	13.1200000001	53.9199999999	43	38	770	720	79	231	727	136	584	0.692918972612	0.737283447425	True
exc_path_3_exc_3_timeOut_10_w_0.1	11.8399999999	56.9699999997	38	36	720	722	79	231	728	136	586	0.713677639047	0.93979114886	True
exc_path_3_exc_4_timeOut_10_w_0.1	14.7200000007	67.1000000006	36	35	722	755	79	231	729	136	619	0.719109093488	0.91556298024	True
exc_path_3_exc_5_timeOut_10_w_0.1	16.6600000001	77.5300000003	35	33	755	744	79	231	730	133	611	0.74	0.954971564983	True
exc_path_4_exc_0_timeOut_10_w_0.1	34.2699999996	95.6600000001	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_4_exc_1_timeOut_10_w_0.1	27.5300000003	88.7300000004	58	43	1111	770	79	231	726	152	618	0.628299744536	0.655673753164	True
exc_path_4_exc_2_timeOut_10_w_0.1	21.96	89.8199999994	43	38	770	720	79	231	727	136	584	0.692918972612	0.737283447425	True
exc_path_4_exc_3_timeOut_10_w_0.1	21.080000001	92.2300000004	38	36	720	755	79	231	728	133	622	0.708995459705	0.907087465324	True
exc_path_4_exc_4_timeOut_10_w_0.1	19.8200000003	99.3600000003	36	34	755	786	79	231	729	131	655	0.724499929068	0.94112366254	True
exc_path_4_exc_5_timeOut_10_w_0.1	21.6600000001	102.87	34	31	786	712	79	231	730	126	586	0.762695035461	0.940673409304	True
exc_path_5_exc_0_timeOut_10_w_0.1	48.3500000006	140.12	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_5_exc_1_timeOut_10_w_0.1	41.9400000004	143.37	58	43	1111	770	79	231	726	152	618	0.628299744536	0.655673753164	True
exc_path_5_exc_2_timeOut_10_w_0.1	34.4100000001	135.7	43	34	770	669	79	231	727	135	534	0.741024549454	0.660565253482	True
exc_path_5_exc_3_timeOut_10_w_0.1	26.8000000007	127.98	34	33	669	714	79	231	728	147	567	0.744182746879	0.921135402918	True
exc_path_5_exc_4_timeOut_10_w_0.1	26.3500000006	128.050000001	33	33	714	726	79	231	729	140	586	0.742516669031	0.924127853793	True
exc_path_5_exc_5_timeOut_10_w_0.1	27.4099999992	129.51	33	32	726	737	79	231	730	135	602	0.750212765957	0.940215012934	True
exc_path_6_exc_0_timeOut_10_w_0.1	57.5500000007	160.260000001	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_6_exc_1_timeOut_10_w_0.1	45.25	147.810000001	58	43	1111	770	79	231	726	152	618	0.628299744536	0.655673753164	True
exc_path_6_exc_2_timeOut_10_w_0.1	34.4499999993	136.74	43	38	770	810	79	231	727	143	667	0.680147580531	0.874110402666	True
exc_path_6_exc_3_timeOut_10_w_0.1	30.0200000005	132.279999999	38	35	810	807	79	231	728	137	670	0.711691259932	0.920096726025	True
exc_path_6_exc_4_timeOut_10_w_0.1	27.879999999	129.829999999	35	32	807	854	79	231	729	136	718	0.733579231097	0.926073020917	True
exc_path_6_exc_5_timeOut_10_w_0.1	25.5500000007	127.890000001	32	32	854	887	79	231	730	138	749	0.728936170213	0.976990582961	True
exc_path_7_exc_0_timeOut_10_w_0.1	58.1500000004	161.66	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_7_exc_1_timeOut_10_w_0.1	45.75	148.38	58	43	1111	770	79	231	726	152	618	0.628299744536	0.655673753164	True
exc_path_7_exc_2_timeOut_10_w_0.1	34.4500000002	136.88	43	38	770	810	79	231	727	143	667	0.680147580531	0.874110402666	True
exc_path_7_exc_3_timeOut_10_w_0.1	29.8700000001	132.07	38	35	810	815	79	231	728	137	678	0.710556186152	0.897977242534	True
exc_path_7_exc_4_timeOut_10_w_0.1	27.8100000005	130.23	35	33	815	816	79	231	729	134	682	0.729748900553	0.913016276673	True
exc_path_7_exc_5_timeOut_10_w_0.1	26.7999999998	128.739999999	33	32	816	844	79	231	730	136	708	0.735035460993	0.962300531326	True
exc_path_8_exc_0_timeOut_10_w_0.1	57.6100000013	159.880000001	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_8_exc_1_timeOut_10_w_0.1	45.1799999997	147.75	58	43	1111	770	79	231	726	152	618	0.628299744536	0.655673753164	True
exc_path_8_exc_2_timeOut_10_w_0.1	34.4099999992	136.75	43	38	770	810	79	231	727	143	667	0.680147580531	0.874110402666	True
exc_path_8_exc_3_timeOut_10_w_0.1	30.2999999998	132.3	38	36	810	793	79	231	728	141	652	0.703603859251	0.936990908701	True
exc_path_8_exc_4_timeOut_10_w_0.1	28.5700000003	130.560000001	36	34	793	791	79	231	729	142	649	0.723790608597	0.953931352974	True
exc_path_8_exc_5_timeOut_10_w_0.1	26.9900000002	128.220000001	34	33	791	804	79	231	730	142	662	0.731489361702	0.948685351122	True
exc_path_9_exc_0_timeOut_10_w_0.1	56.9900000002	159.760000001	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_9_exc_1_timeOut_10_w_0.1	47.1600000001	149.67	58	43	1111	770	79	231	726	152	618	0.628299744536	0.655673753164	True
exc_path_9_exc_2_timeOut_10_w_0.1	34.419999999	136.849999999	43	38	770	810	79	231	727	143	667	0.680147580531	0.874110402666	True
exc_path_9_exc_3_timeOut_10_w_0.1	30.8899999997	133.179999999	38	35	810	806	79	231	728	142	664	0.711833144154	0.930499114003	True
exc_path_9_exc_4_timeOut_10_w_0.1	28.1799999997	130.250000001	35	34	806	824	79	231	729	139	685	0.719109093488	0.94723528772	True
exc_path_9_exc_5_timeOut_10_w_0.1	27.7999999998	129.81	34	33	824	812	79	231	730	139	673	0.730354609929	0.972417410868	True
exc_path_10_exc_0_timeOut_10_w_0.1	58.3500000006	161.27	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_10_exc_1_timeOut_10_w_0.1	45.7599999998	149.15	58	43	1111	770	79	231	726	152	618	0.628299744536	0.655673753164	True
exc_path_10_exc_2_timeOut_10_w_0.1	34.7400000002	137.920000001	43	38	770	810	79	231	727	143	667	0.680147580531	0.874110402666	True
exc_path_10_exc_3_timeOut_10_w_0.1	31.1699999999	134.01	38	35	810	843	79	231	728	150	693	0.706583427923	0.868842890207	True
exc_path_10_exc_4_timeOut_10_w_0.1	28.5499999998	131.569999999	35	35	843	867	79	231	729	144	723	0.703220314938	0.951199638368	True
exc_path_10_exc_5_timeOut_10_w_0.1	28.46	131.44	35	34	867	858	79	231	730	141	717	0.714326241135	0.945589889345	True
exc_path_11_exc_0_timeOut_10_w_0.1	58.9300000006	163.73	73	58	1848	1111	79	231	725	232	879	0.364797728886	0.676030087125	True
exc_path_11_exc_1_timeOut_10_w_0.1	49.9299999997	155.74	58	43	1111	770	79	231	726	152	618	0.628299744536	0.655673753164	True
exc_path_11_exc_2_timeOut_10_w_0.1	35.7800000003	140.94	43	38	770	810	79	231	727	143	667	0.680147580531	0.874110402666	True
exc_path_11_exc_3_timeOut_10_w_0.1	31.1900000004	135.9	38	35	810	843	79	231	728	150	693	0.706583427923	0.868842890207	True
exc_path_11_exc_4_timeOut_10_w_0.1	29.54	134.79	35	34	843	856	79	231	729	140	716	0.714569442474	0.936739408698	True
