info	GenerationTime	ExecutionTime	NumVariables	NumClauses	DimensionFormula	PlanTime	NumRoles(Before)	NumRoles(After)	NumZeros(Before)	NumZeros(After)	ResultCompliance
exc_0_w_0.0	0.0400000000373	0.0999999996275	686	3388	55743	0	True
exc_1_w_0.0	0.0200000004843	0.070000000298	686	3388	55743	0	True
exc_2_w_0.0	0.019999999553	0.0800000000745	686	3388	55743	0	True
exc_3_w_0.0	0.0400000000373	0.100000000559	686	3388	55743	0	True
exc_4_w_0.0	0.0300000002608	0.0800000000745	686	3388	55757	0	True
exc_5_w_0.0	0.0200000004843	0.0800000000745	686	3388	55743	0	True
exc_6_w_0.0	0.0400000000373	0.089999999851	686	3388	55757	0	True
exc_7_w_0.0	0.0400000000373	0.0999999996275	686	3388	55734	0	True
exc_8_w_0.0	0.0299999993294	0.089999999851	686	3388	55743	0	True
exc_9_w_0.0	0.0400000000373	0.089999999851	686	3388	55757	0	True
exc_10_w_0.0	0.0399999991059	0.0999999996275	686	3388	55743	0	True
exc_11_w_0.0	0.0299999993294	0.0800000000745	686	3388	55756	0	True
exc_0_w_0.05	0.0299999993294	0.0899999989197	686	3388	55462	0	True
exc_1_w_0.05	0.0400000000373	0.0900000007823	686	3388	55462	0	True
exc_2_w_0.05	0.019999999553	0.0899999989197	686	3388	55462	0	True
exc_3_w_0.05	0.0400000000373	0.0800000000745	686	3388	55462	0	True
exc_4_w_0.05	0.0400000000373	0.110000000335	686	3388	55476	0	True
exc_5_w_0.05	0.0300000002608	0.100000000559	686	3388	55462	0	True
exc_6_w_0.05	0.019999999553	0.0899999989197	686	3388	55476	0	True
exc_7_w_0.05	0.0400000000373	1.29999999981	686	3388	55453	0	True
exc_8_w_0.05	0.0300000002608	0.089999999851	686	3388	55462	0	True
exc_9_w_0.05	0.0200000004843	0.0800000000745	686	3388	55476	0	True
exc_10_w_0.05	0.0400000000373	0.30999999959	686	3388	55462	0	True
exc_11_w_0.05	0.0400000000373	0.0999999996275	686	3388	55475	0	True
exc_0_w_0.1	0.0300000002608	7.49000000022	686	3388	55771	0	True
exc_1_w_0.1	0.0400000000373	7.89999999944	686	3388	55771	0	True
exc_2_w_0.1	0.0400000000373	9.24000000022	686	3388	55771	0	True
exc_3_w_0.1	0.0300000002608	7.98999999929	686	3388	55771	0	True
exc_4_w_0.1	0.0300000002608	7.37000000011	686	3388	55785	0	True
