timeout	AvgRoleNumber	AvgAssignments	Similarity
7	51.2105263158	1200.31578947	0.614093694347
10	36.3157894737	910.789473684	0.64938456476
20	32.7894736842	923.736842105	0.66528899751
30	31.8947368421	924.421052632	0.667378766959
40	31.8421052632	916.684210526	0.666507543739
50	31.6315789474	918.052631579	0.668169848728
60	31.0526315789	924.684210526	0.667442560617
70	31.0	926.0	0.66965491678
80	30.7368421053	931.263157895	0.672761874802
90	30.6842105263	925.842105263	0.671467550139
100	30.5789473684	930.473684211	0.672476624722
110	30.3157894737	936.368421053	0.669166525303
120	30.3157894737	933.789473684	0.666594335137
130	30.4736842105	934.263157895	0.669850617189
140	30.2105263158	932.052631579	0.669106363197
150	30.1052631579	927.526315789	0.669753199305
160	30.0	930.315789474	0.669672455876
170	30.0	926.684210526	0.672735303542
180	29.8947368421	927.315789474	0.674337745674
