timeout	AvgRoleNumber	AvgAssignments	Similarity
7	52.2105263158	1656.26315789	0.772409033875
10	51.1052631579	1667.89473684	0.822992886112
20	51.8947368421	1640.26315789	0.860191867116
30	51.2631578947	1614.36842105	0.863943973023
40	50.9473684211	1623.10526316	0.869042008545
50	51.2631578947	1612.63157895	0.872781485736
60	51.1578947368	1618.05263158	0.865064452923
70	50.9473684211	1616.57894737	0.870943206234
80	51.1052631579	1621.63157895	0.870075850028
90	51.3157894737	1620.15789474	0.875825194544
100	51.1578947368	1619.57894737	0.87536480793
110	51.1578947368	1618.15789474	0.876476392211
120	50.9473684211	1619.05263158	0.878683221842
130	50.8947368421	1617.84210526	0.877806950848
140	50.9473684211	1617.05263158	0.876662652862
150	50.8421052632	1619.15789474	0.877148115753
160	50.7368421053	1615.63157895	0.877446346994
170	50.7368421053	1615.73684211	0.87364499303
180	51.0	1613.68421053	0.876199775076
