timeout	AvgRoleNumber	AvgAssignments	Similarity
7	53.2631578947	1671.89473684	0.774254241465
10	55.5263157895	1711.15789474	0.836349518223
20	57.0526315789	1685.63157895	0.877500041073
30	58.8947368421	1682.89473684	0.901278844572
40	58.3157894737	1686.63157895	0.902762052102
50	57.6315789474	1684.21052632	0.907477070836
60	57.9473684211	1685.94736842	0.91021344372
70	58.2105263158	1686.94736842	0.909830112255
80	57.8947368421	1687.05263158	0.905349521397
90	57.8947368421	1687.05263158	0.905349521397
100	58.2631578947	1688.47368421	0.905696076502
110	58.0526315789	1688.31578947	0.904607703082
120	57.2631578947	1685.47368421	0.902650031542
130	57.6315789474	1687.21052632	0.902813710081
140	57.3684210526	1685.84210526	0.902255069532
150	57.3684210526	1685.84210526	0.902255069532
160	57.3684210526	1685.84210526	0.902255069532
170	57.3684210526	1685.84210526	0.902255069532
180	57.3684210526	1685.84210526	0.902255069532
