inputProb	users	minimumTimeout	GenerationTime	ExecutionTime	NumVariables	NumClauses	initialRoles	initialAss
89	5	1.0	0.0	6.1099999994	0	0	407115	4	23
85	21	2.0	0.0	12.8000000007	0	0	5464862	14	409
81	37	3.0	0.0	21.9100000001	0	0	12574094	19	667
77	53	12.0	0.0	72.9800000004	0	0	30522294	32	972
73	69	35.0	0.0	177.33	0	0	60697857	48	1679
69	85	50.0	0.0	253.73	0	0	87866679	57	1842
65	101	80.0	0.0	428.26	0	0	126764893	69	2475
61	117	360.0	0.0	1837.49	0	0	178777831	81	3535
57	133	900.0	0.0	6484.8	0	0	244169305	94	5376
53	149	2800.0	0.0	19808.71	0	0	330445618	110	7607
49	165	4600.0	0.0	29237.28	0	0	370007810	109	7600
45	181	6000.0	0.0	28403.39	0	0	417508548	110	8282
41	197	12000.0	0.0	60204.57	0	0	567793534	129	11201
