info	GenerationTime	ExecutionTime	NumRoles(Before)	NumRoles(After)	NumAss(Before)	NumAss(After)	numUsers	NumPermessi	numAssUPA	numAssUA	numAssPA	opt	sim	ResultCompliance
exc_path_353_exc_3_timeOut_10_w_0.65	30.4999999991	181.57	25	23	482	514	79	231	728	128	386	0.852014755959	0.722626227501	True
exc_path_352_exc_3_timeOut_10_w_0.65	29.9100000001	180.98	25	23	482	514	79	231	728	128	386	0.852014755959	0.722626227501	True
exc_path_348_exc_0_timeOut_10_w_0.65	93.8199999994	245.77	73	50	1848	677	79	231	725	165	512	0.549041873669	0.648223994894	True
exc_path_357_exc_5_timeOut_10_w_0.65	27.7599999998	178.48	24	22	460	473	79	231	730	133	340	0.864255319149	0.829728680344	True
exc_path_347_exc_3_timeOut_10_w_0.65	31.2800000003	182.12	26	25	589	488	79	231	728	141	347	0.842082860386	0.704084705927	True
exc_path_346_exc_3_timeOut_10_w_0.65	29.9299999997	180.88	25	24	488	487	79	231	728	136	351	0.84917707151	0.775057595721	True
exc_path_349_exc_5_timeOut_10_w_0.65	27.8599999994	178.67	24	23	477	476	79	231	730	145	331	0.857446808511	0.740696373591	True
exc_path_345_exc_5_timeOut_10_w_0.65	29.1400000006	180.11	25	23	457	465	79	231	730	134	331	0.859007092199	0.707330946329	True
exc_path_359_exc_4_timeOut_10_w_0.65	28.7699999996	179.3	24	23	477	480	79	231	729	142	338	0.856859128954	0.750427113457	True
exc_path_355_exc_4_timeOut_10_w_0.65	30.0200000005	180.56	25	24	453	443	79	231	729	115	328	0.855440488012	0.786853768665	True
exc_path_351_exc_5_timeOut_10_w_0.65	25.8200000003	176.5	22	23	469	571	79	231	730	130	441	0.843971631206	0.70412074013	True
exc_path_354_exc_4_timeOut_10_w_0.65	29.8199999994	180.67	25	23	566	546	79	231	729	122	424	0.847496098737	0.722156723607	True
exc_path_350_exc_4_timeOut_10_w_0.65	30.5999999996	181.329999999	26	23	567	469	79	231	729	148	321	0.858419633991	0.643769479729	True
exc_path_356_exc_4_timeOut_10_w_0.65	28.3399999999	179.130000001	24	25	500	470	79	231	729	134	336	0.844658816853	0.765396309704	True
exc_path_358_exc_2_timeOut_10_w_0.65	37.79	188.91	30	25	491	486	79	231	727	150	336	0.842344259969	0.760652783102	True
exc_path_353_exc_4_timeOut_10_w_0.65	28.2200000007	179.350000001	23	24	514	564	79	231	729	130	434	0.838274932615	0.725093250859	True
